,title,description,price,points,cluster_label,cosine_similarity
5567,Pico Maccario 2016 Lavignone  (Barbera d'Asti),"This opens with black-skinned berry, clove and cooking spice aromas. The straightforward palate shows ripe black cherry, black plum and white pepper notes alongside smooth tannins. Drink soon.",16.0,87,0,0.5461610991776211
57458,Tenuta Santa Maria alla Pieve 2009  Amarone della Valpolicella,"Crushed violet, baking spice, scorched earth, ripe black-skinned fruit and a whiff of leather meld together on this velvety red. The round, ripe palate doles out raspberry jam, dried black cherry, raisin, ground pepper and licorice accompanied by firm, polished tannins. Drink 2016–2021.",82.0,90,0,0.5452516428284693
60863,Poderi Luigi Einaudi 2012 Vigna Tecc  (Dogliani Superiore),"Aromas of black cherry, ground cooking spice and a whiff of grilled herb drive the nose on this structured red. The enveloping palate doles out ripe black cherry, licorice, almond and black pepper accompanied by firm, velvety tannins.",28.0,91,0,0.5418402617986641
39519,Suberli 2011 Riserva  (Morellino di Scansano),"Aromas of espresso, underbrush and black-skinned fruit lead the nose. The firm palate offers dried black cherry, mature plum, clove, coffee and black pepper alongside chewy tannins. Drink through 2018.",17.0,88,0,0.5390576171341067
114819,Suberli 2011 Riserva  (Morellino di Scansano),"Aromas of espresso, underbrush and black-skinned fruit lead the nose. The firm palate offers dried black cherry, mature plum, clove, coffee and black pepper alongside chewy tannins. Drink through 2018.",17.0,88,0,0.5390576171341067
108386,Castello di Verrazzano 2012  Chianti Classico,"Underbrush, rose, dark spice and black-skinned fruit aromas lead the nose of this elegantly structured red. The savory palate delivers fleshy plum, juicy black cherry licorice and ground pepper alongside firm, fine-grained tannins. Drink through 2018.",26.0,90,0,0.5367839566085099
108390,Dei 2012  Vino Nobile di Montepulciano,"A blend of Sangiovese with 10% Canaiolo, this opens with a fruity fragrance of fresh red berry, Mediterranean brush and a whiff of iris. The savory palate doles out juicy black cherry, black raspberry, clove and white pepper alongside fine-grained tannins. An anise note signals the finish. Drink 2016–2020.",30.0,90,0,0.5363933612251626
20360,Tenuta di Nozzole 2012 La Forra Gran Selezione  (Chianti Classico),"Aromas of iris, plum, leather and a whiff of clove lead the nose. The firm, savory palate offers black cherry, red currant, licorice, black pepper and tobacco backed up by assertive, fine-grained tannins. Drink 2016–2022.",48.0,91,0,0.5289232336776152
92452,Giacomo Fenocchio 2011 Bussia  (Barolo),"Aromas of wild berry, underbrush and tobacco lead the nose on this classically crafted Barolo. The full-bodied palate delivers juicy Morello cherry, ripe black raspberry, baking spice and licorice alongside a network of ripe, assertive tannins and firm acidity. Drink 2018–2026.",60.0,94,0,0.5272724992848853
83315,Luce della Vite 2014 Lucente Red (Toscana),"A blend of Merlot and Sangiovese, this offers aromas of black plum, dried herb, violet and a whiff of baking spice. The vibrant palate doles out juicy black cherry, licorice and a hint of espresso alongside fine-grained, polished tannins and zesty acidity. Drink through 2019.",30.0,89,0,0.5212744797337636
79972,Bric Cenciurio 2011 Coste di Rose  (Barolo),"This opens with aromas of blue and red flower, underbrush and mature, dark-skinned berry. The tense palate offers black cherry, crushed raspberry, star anise tobacco and mocha alongside firm, fine-grained tannins and bright acidity. A note of chopped herb closes the finish. Drink 2018–2028.",69.0,93,0,0.5193049184277144
8674,Marchesi di Barolo 2012 Serragrilli  (Barbaresco),"Aromas of mature black plum, espresso, wild rose and spice emerge on this full-bodied red. The firm palate offers dried black cherry, menthol, mint, white pepper, well-integrated oak and licorice alongside fine-grained tannins.",80.0,90,0,0.518513003084105
29413,Castiglion del Bosco 2008 Millecento  (Brunello di Montalcino),"This opens with aromas of spiced plum, oak, vanilla and leather. The smooth, concentrated palate offers ripe black cherry, juicy raspberry, mocha, clove, tobacco, black pepper and licorice alongside velvety tannins. Drink 2015–2023.",200.0,91,0,0.5176764805343951
115872,Feudi di San Gregorio 2010 Piano di Montevergine Riserva  (Taurasi),"Mature black-skinned berry, ripe plum, menthol, leather and tobacco are just some of the aromas that emerge on this full-bodied red. The firm, spicy palate delivers dried black cherry, blackberry, ground pepper, clove, espresso and licorice alongside a backbone of youthfully assertive but refined tannins. Give it time to fully develop. Drink 2020–2035.",65.0,93,0,0.517096028876484
81063,Rivetto 2009 Briccolina  (Barolo),"Fragrant and structured, this classically crafted Barolo opens with a Nebbiolo aromas of red rose, red berry, underbrush, leather and balsamic notes. The palate doles out ripe black cherry, crushed raspberry, savory herb and ground black pepper alongside elegant tannins. Drink through 2015–2020.",149.0,93,0,0.5169790269605624
84348,I Veroni 2012 Riserva  (Chianti Rufina),"Blue flower, plum, leather and underbrush aromas come together in the glass. The full-bodied palate delivers ripe black cherry, crushed raspberry, clove, tobacco and aniseed alongside velvety tannins. A black pepper note signals the close. Drink through 2018.",35.0,92,0,0.5162489709706508
11459,Castello di Gabbiano 2012 Riserva  (Chianti Classico),"This opens with aromas of sunbaked earth, mature berry, and a hint of grilled herb. The ripe palate delivers dried black cherry, licorice and a hint of coffee while fine-grained tannins give it a firm finish.",15.0,88,0,0.5159316314171539
