,title,description,price,points,cluster_label,cosine_similarity
68,Yalumba 2016 Made With Organic Grapes Chardonnay (South Australia),"This medium-bodied Chardonnay features aromas of pineapple and roasted cashew. Similar notes of ripe pineapple and nuts mark the palate, then ease to a rather soft, easy finish. Drink now.",18.0,86,9,0.9996874899342079
93,Leyda 2015 Single Vineyard Falaris Hill Chardonnay (Leyda Valley),"A bright nose with green apple and citric aromas comes with mild oak. This is acidic and racy in composition, with roundness along the edges of the palate. Apple and nectarine flavors are lightly oaked and salty, while this holds form on a high-acid finish.",18.0,87,9,0.9996874899342079
175,Emiliana 2008 Natura Chardonnay (Casablanca Valley),"Clean and honest up front, with moderate richness and modest telltale Casablanca pineapple aromas. The plate is creamier than many wines in this price range, with flavors of apple cider, citrus and some pith. Overall this is a good value wine with enough citrus and acidity to qualify it as fresh.",11.0,87,9,0.9996874899342079
194,Eikendal 2014 Chardonnay (Western Cape),"This leads with clean yet soft scents of ripe apple, Anjoy pear and orange blossom. Those notes carry through to the medium-weight palate, well integrated with soft toasted-oak tones. It's harmonious and balanced, with ample acidity lending good lift through the close. Drink now.",20.0,90,9,0.9996874899342079
206,Oldenburg 2013 Chardonnay (Stellenbosch),"There's a pleasant, toasty seam throughout the nose and mouth of this well-balanced wine, expressed in notes of sweet spice and honeycomb that frame the yellow melon and apple fruit core. It's plush and mouthfilling, but not flabby or overdone, thanks to balancing acidity and an assertive spicy tone that dominates the finish. Drink now.",25.0,90,9,0.9996874899342079
245,Jardin 2009 Nine Yards Chardonnay (Stellenbosch),"Fairly intense and flavorful, this Chard expresses assertive aromas and flavors of wood-grilled peaches, buttercream frosting, lemon custard and toasted brioche. Medium weight in the mouth with good balance and a touch of baking spice on the close.",40.0,89,9,0.9996874899342079
279,Cramele Recas 2009 Chardonnay (Recas),"Fragrant on the nose with fresh orange, lemon and honeysuckle aromas, this full-bodied Chard is deliciously quaffable with a concentrated apple palate and just a hint of buttered toast. Another well-made Romanian at an unbeatable bargain price.",7.0,87,9,0.9996874899342079
295,De Martino 2007 Legado Reserva Chardonnay (Limarí Valley),"Opening aromas of vanilla cookie show a resemblance to Animal Crackers, while the palate is more vivacious and tangy, with flavors of orange, tangerine and apple. We wouldn't call this an elegant or refined wine, but we like its no-issues attitude and citrusy content. Probably good with salads and seafood.",18.0,86,9,0.9996874899342079
307,Viña Tarapacá 2015 Gran Reserva Chardonnay (Leyda Valley),"Aromas of pumpkin, squash and corn chips are stale and not inviting. There's an acceptable mouthfeel to this weird, unbalanced Chardonnay along with flavors of spiced squash, mealy apple and sautéed root vegetables.",19.0,80,9,0.9996874899342079
352,San Pedro 2002 Castillo de Molina Reserva Chardonnay (Lontué Valley),"Strongly oaked, but fresh, young and healthy in the nose. The smell of coconut and lemon curd is friendly and soft, while the palate is loaded with more lemon, coconut, pear and nutmeg. The texture is rich, and, for now, the acidity is bright. A solid Chardonnay for current drinking.",11.0,87,9,0.9996874899342079
362,Lapostolle 2007 Casa Chardonnay (Casablanca Valley),"Aromas of baked apple, nut oil and toast are mildly appealing, while the round, dry palate is home to flavors of melon and bitter pith. The finish of peach pit and citrus peel is par for the course, and overall it's time to get at this standard Chardonnay before it goes flaccid.",14.0,85,9,0.9996874899342079
715,Viña Cobos 2015 Bramare Marchiori Vineyard Chardonnay (Perdriel),"Oaky, smoky aromas are New World all the way. Heavily toasted and creamy on the palate, this hefty full-bodied Chardonnay tastes of wood resin, spiced apple and peach. Solid acidity keep this in line, while a lasting wave of toasty oak pushes the finish.",46.0,90,9,0.9996874899342079
733,Kooyong 2013 Farrago Chardonnay (Mornington Peninsula),"Without any new oak or lees stirring, this wine's sole focus is on the fruit. Pineapple, melon and peach notes are pure and striking, supported by just hints of vanilla and cream. This medium-bodied Chardonnay finishes in a flurry of tangerine and lime.",66.0,90,9,0.9996874899342079
872,Santa Ema 2008 Selected Terroir Chardonnay (Casablanca Valley),"Light and tropical, with buttercup aromas and a touch of citrus. The palate is plump and slightly oily, but with good acidity. Apple, mango and banana flavors are fruity and sweet, but overall the wine holds it together. Drink right away.",10.0,85,9,0.9996874899342079
